rank,cityId,displayName,country,region,cityType,slicScore,pressureScore,viabilityScore,capabilityScore,communityScore,creativeScore,coverageGrade,overallWeightedCoverage,rankingStatus
1,nl-amsterdam,Amsterdam,Netherlands,"Western, Northern, and Southern Europe",primary,77.5,68.9,98.2,87.8,66.6,64.6,B,0.6,Ranked
1,nl-eindhoven,Eindhoven,Netherlands,"Western, Northern, and Southern Europe",secondary,77.5,68.9,98.2,87.8,66.6,64.6,B,0.6,Ranked
3,dk-copenhagen,Copenhagen,Denmark,"Western, Northern, and Southern Europe",primary,76.2,54.8,98.5,82.6,65.6,80.6,B,0.6,Ranked
4,fi-helsinki,Helsinki,Finland,"Western, Northern, and Southern Europe",secondary,74.1,59.1,92.0,94.8,60.6,64.8,B,0.6,Ranked
5,ae-abu-dhabi,Abu Dhabi,United Arab Emirates,Middle East,primary,74.0,49.1,93.2,77.6,100.0,61.0,B,0.6,Ranked
5,ae-dubai,Dubai,United Arab Emirates,Middle East,primary,74.0,49.1,93.2,77.6,100.0,61.0,B,0.6,Ranked
7,us-chicago,Chicago,United States,North America,primary,73.7,60.0,85.4,76.1,54.8,89.9,B,0.6,Ranked
7,us-minneapolis,Minneapolis,United States,North America,primary,73.7,60.0,85.4,76.1,54.8,89.9,B,0.6,Ranked
7,us-pittsburgh,Pittsburgh,United States,North America,secondary,73.7,60.0,85.4,76.1,54.8,89.9,B,0.6,Ranked
7,us-raleigh,Raleigh,United States,North America,secondary,73.7,60.0,85.4,76.1,54.8,89.9,B,0.6,Ranked
11,at-graz,Graz,Austria,"Western, Northern, and Southern Europe",secondary,72.6,62.5,87.5,84.1,57.3,69.8,B,0.6,Ranked
11,at-vienna,Vienna,Austria,"Western, Northern, and Southern Europe",primary,72.6,62.5,87.5,84.1,57.3,69.8,B,0.6,Ranked
13,sg-singapore,Singapore,Singapore,Southeast Asia,primary,71.7,38.2,87.7,94.7,72.8,74.7,B,0.6,Ranked
14,ch-zurich,Zurich,Switzerland,"Western, Northern, and Southern Europe",primary,71.5,39.5,97.7,79.4,64.5,80.7,B,0.6,Ranked
15,au-adelaide,Adelaide,Australia,Oceania,secondary,71.1,55.1,90.3,93.5,64.4,54.6,B,0.6,Ranked
15,au-brisbane,Brisbane,Australia,Oceania,primary,71.1,55.1,90.3,93.5,64.4,54.6,B,0.6,Ranked
15,au-hobart,Hobart,Australia,Oceania,secondary,71.1,55.1,90.3,93.5,64.4,54.6,B,0.6,Ranked
15,au-melbourne,Melbourne,Australia,Oceania,primary,71.1,55.1,90.3,93.5,64.4,54.6,B,0.6,Ranked
15,au-perth,Perth,Australia,Oceania,secondary,71.1,55.1,90.3,93.5,64.4,54.6,B,0.6,Ranked
